loc,lOBlank,e,total_Op,i,v,branchCount,n,d,v(g),total_Opnd,lOCode,uniq_Op,uniq_Opnd,defects
1.1,2,1.3,1.2,1.3,1.3,1.4,1.3,1.3,1.4,1.2,2,1.2,1.2,False
1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,True
91.0,31,57833.24,192.0,75.47,2089.21,17.0,318.0,27.68,9.0,126.0,80,29.0,66.0,True
109.0,24,72282.68,229.0,89.79,2547.56,38.0,381.0,28.37,21.0,152.0,97,28.0,75.0,True
505.0,49,1571506.88,1397.0,272.58,20696.93,178.0,2339.0,75.93,106.0,942.0,457,64.0,397.0,True
107.0,39,226588.75,359.0,80.95,4282.78,40.0,619.0,52.91,25.0,260.0,103,35.0,86.0,True
74.0,49,55178.46,169.0,66.66,1917.93,21.0,294.0,28.77,11.0,125.0,60,29.0,63.0,True
602.0,225,2730637.23,1641.0,246.47,25942.69,236.0,2785.0,105.26,136.0,1144.0,600,99.0,538.0,True
29.0,8,7127.8,73.0,72.35,718.1,3.0,140.0,9.93,2.0,67.0,28,8.0,27.0,True
36.0,10,34338.99,137.0,61.05,1447.91,5.0,254.0,23.72,3.0,117.0,34,15.0,37.0,True
70.0,18,81152.69,240.0,114.46,3047.71,21.0,434.0,26.63,11.0,194.0,57,28.0,102.0,True
109.0,17,31619.49,144.0,55.32,1322.55,39.0,223.0,23.91,20.0,79.0,89,23.0,38.0,True
37.0,24,27356.45,99.0,43.87,1095.44,5.0,187.0,24.97,3.0,88.0,35,21.0,37.0,True
90.0,17,70100.61,287.0,163.74,3387.95,57.0,488.0,20.69,29.0,201.0,66,21.0,102.0,True
19.0,9,4451.81,44.0,27.79,351.75,3.0,71.0,12.66,2.0,27.0,18,15.0,16.0,True
152.0,39,94929.66,243.0,85.6,2850.62,41.0,430.0,33.3,21.0,187.0,150,26.0,73.0,True
22.0,12,7516.89,59.0,38.68,539.23,9.0,100.0,13.94,5.0,41.0,22,17.0,25.0,True
69.0,17,87570.07,300.0,160.24,3745.93,23.0,536.0,23.38,12.0,236.0,68,21.0,106.0,True
49.0,10,24859.27,116.0,54.76,1166.73,12.0,191.0,21.31,9.0,75.0,46,25.0,44.0,True
48.0,23,49408.04,137.0,43.78,1470.82,5.0,248.0,33.59,3.0,111.0,37,23.0,38.0,True
128.0,34,168007.02,285.0,65.2,3310.02,37.0,494.0,50.76,19.0,209.0,107,34.0,70.0,True
32.0,11,34286.0,107.0,36.33,1116.0,11.0,186.0,30.72,6.0,79.0,30,28.0,36.0,True
38.0,20,31422.74,148.0,66.64,1447.1,11.0,244.0,21.71,6.0,96.0,38,19.0,42.0,True
34.0,19,17452.01,108.0,60.39,1026.58,11.0,176.0,17.0,6.0,68.0,34,19.0,38.0,True
16.0,8,2800.0,36.0,32.14,300.0,5.0,60.0,9.33,3.0,24.0,16,14.0,18.0,True
15.0,8,6740.46,50.0,31.08,457.69,7.0,86.0,14.73,4.0,36.0,14,18.0,22.0,True
14.0,7,1385.31,29.0,33.52,215.49,5.0,47.0,6.43,3.0,18.0,14,10.0,14.0,True
22.0,13,7779.61,59.0,36.9,535.76,9.0,100.0,14.52,5.0,41.0,22,17.0,24.0,True
22.0,15,3004.05,43.0,45.57,370.0,5.0,74.0,8.11,3.0,31.0,22,11.0,21.0,True
12.0,8,1141.33,24.0,30.96,187.98,3.0,41.0,6.07,2.0,17.0,12,10.0,14.0,True
25.0,3,7410.9,63.0,50.38,611.0,15.0,110.0,12.13,8.0,47.0,20,16.0,31.0,True
23.0,12,6656.52,57.0,44.56,544.62,7.0,101.0,12.22,4.0,44.0,23,15.0,27.0,True
8.0,6,1672.9,26.0,33.87,238.04,1.0,49.0,7.03,1.0,23.0,8,11.0,18.0,True
47.0,9,11756.11,83.0,67.47,890.61,13.0,149.0,13.2,7.0,66.0,40,18.0,45.0,True
19.0,28,4798.75,42.0,31.98,391.73,5.0,77.0,12.25,3.0,35.0,15,14.0,20.0,True
64.0,32,26165.5,119.0,52.7,1174.29,12.0,198.0,22.28,8.0,79.0,48,22.0,39.0,True
110.0,37,198677.1,361.0,97.66,4404.88,49.0,663.0,45.1,25.0,302.0,97,23.0,77.0,True
58.0,18,39236.98,164.0,98.09,1961.85,11.0,314.0,20.0,6.0,150.0,58,16.0,60.0,True
167.0,39,109272.46,367.0,218.7,4888.5,51.0,671.0,22.35,26.0,304.0,166,20.0,136.0,True
60.0,13,28568.25,109.0,40.9,1080.96,16.0,183.0,26.43,12.0,74.0,58,25.0,35.0,True
14.0,2,2734.06,26.0,17.5,218.72,5.0,46.0,12.5,3.0,20.0,13,15.0,12.0,True
15.0,8,909.35,28.0,59.59,232.79,1.0,53.0,3.91,1.0,25.0,13,5.0,16.0,True
120.0,36,424927.99,544.0,118.33,7090.97,13.0,1002.0,59.93,7.0,458.0,120,28.0,107.0,True
28.0,7,6559.11,52.0,34.79,477.69,8.0,86.0,13.73,6.0,34.0,28,21.0,26.0,True
64.0,80,86270.84,202.0,64.48,2358.66,23.0,368.0,36.58,12.0,166.0,54,26.0,59.0,True
61.0,11,37229.33,159.0,96.31,1893.56,13.0,304.0,19.66,7.0,145.0,49,16.0,59.0,True
3.0,1,99.66,6.0,11.07,33.22,1.0,10.0,3.0,1.0,4.0,3,6.0,4.0,True
141.0,56,236376.96,365.0,87.72,4553.49,36.0,657.0,51.91,24.0,292.0,141,32.0,90.0,True
6.0,7,905.55,18.0,21.43,139.32,1.0,30.0,6.5,1.0,12.0,6,13.0,12.0,True
93.0,31,102358.84,229.0,70.21,2680.83,24.0,409.0,38.18,17.0,180.0,93,28.0,66.0,True
6.0,7,905.55,18.0,21.43,139.32,1.0,30.0,6.5,1.0,12.0,6,13.0,12.0,True
31.0,9,8504.78,61.0,42.78,603.18,13.0,108.0,14.1,7.0,47.0,28,18.0,30.0,True
153.0,55,367939.9,462.0,95.98,5942.58,40.0,841.0,61.92,25.0,379.0,153,33.0,101.0,True
63.0,5,91007.81,229.0,88.87,2843.99,33.0,429.0,32.0,17.0,200.0,57,24.0,75.0,True
106.0,32,146524.08,297.0,92.23,3676.08,57.0,539.0,39.86,29.0,242.0,106,28.0,85.0,True
23.0,9,13174.23,66.0,32.1,650.3,9.0,113.0,20.26,5.0,47.0,21,25.0,29.0,True
29.0,7,18980.62,93.0,44.67,920.81,9.0,164.0,20.61,5.0,71.0,29,18.0,31.0,True
84.0,27,301439.38,457.0,140.08,6498.04,17.0,876.0,46.39,9.0,419.0,84,31.0,140.0,True
17.0,12,7446.38,58.0,40.63,550.02,1.0,102.0,13.54,1.0,44.0,16,16.0,26.0,True
6.0,0,69.74,6.0,17.43,34.87,1.0,11.0,2.0,1.0,5.0,6,4.0,5.0,True
15.0,7,6740.46,50.0,31.08,457.69,7.0,86.0,14.73,4.0,36.0,14,18.0,22.0,True
29.0,5,15166.52,84.0,43.84,815.4,9.0,146.0,18.6,5.0,62.0,29,18.0,30.0,True
5.0,0,69.74,6.0,17.43,34.87,1.0,11.0,2.0,1.0,5.0,5,4.0,5.0,True
15.0,9,1918.25,32.0,32.35,249.12,5.0,53.0,7.7,3.0,21.0,15,11.0,15.0,True
5.0,0,69.74,6.0,17.43,34.87,1.0,11.0,2.0,1.0,5.0,5,4.0,5.0,True
6.0,0,69.74,6.0,17.43,34.87,1.0,11.0,2.0,1.0,5.0,6,4.0,5.0,True
23.0,12,6459.19,57.0,46.5,548.05,7.0,101.0,11.79,4.0,44.0,23,15.0,28.0,True
5.0,0,69.74,6.0,17.43,34.87,1.0,11.0,2.0,1.0,5.0,5,4.0,5.0,True
5.0,0,69.74,6.0,17.43,34.87,1.0,11.0,2.0,1.0,5.0,5,4.0,5.0,True
43.0,16,14482.39,104.0,81.27,1084.92,17.0,186.0,13.35,9.0,82.0,43,14.0,43.0,True
14.0,4,3848.89,40.0,32.54,353.92,7.0,69.0,10.88,4.0,29.0,12,15.0,20.0,True
16.0,3,5863.3,52.0,39.65,482.18,9.0,90.0,12.16,5.0,38.0,13,16.0,25.0,True
3.0,2,308.4,13.0,15.23,68.53,1.0,18.0,4.5,1.0,5.0,3,9.0,5.0,True
24.0,7,9362.4,60.0,36.57,585.15,7.0,116.0,16.0,4.0,56.0,19,12.0,21.0,True
17.0,8,4805.3,45.0,31.88,391.38,7.0,79.0,12.28,4.0,34.0,15,13.0,18.0,True
6.0,0,69.74,6.0,17.43,34.87,1.0,11.0,2.0,1.0,5.0,6,4.0,5.0,True
27.0,20,10872.53,55.0,23.63,506.88,12.0,94.0,21.45,7.0,39.0,27,22.0,20.0,True
6.0,0,69.74,6.0,17.43,34.87,1.0,11.0,2.0,1.0,5.0,6,4.0,5.0,True
10.0,6,358.13,14.0,26.64,97.67,1.0,25.0,3.67,1.0,11.0,8,6.0,9.0,False
29.0,21,5147.38,48.0,30.85,398.51,8.0,79.0,12.92,6.0,31.0,29,15.0,18.0,False
8.0,2,148.5,8.0,7.33,33.0,3.0,11.0,4.5,2.0,3.0,6,6.0,2.0,False
108.0,43,106264.81,270.0,97.32,3215.86,39.0,464.0,33.04,22.0,194.0,107,31.0,91.0,False
14.0,1,6259.35,42.0,29.59,430.33,13.0,82.0,14.55,7.0,40.0,14,16.0,22.0,False
0.0,0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0,1.0,0.0,False
13.0,2,2314.39,25.0,14.24,181.52,7.0,42.0,12.75,4.0,17.0,13,12.0,8.0,False
0.0,0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0,1.0,0.0,False
56.0,2,92035.5,202.0,46.96,2078.92,29.0,327.0,44.27,1.0,125.0,49,34.0,48.0,False
0.0,0,0.0,2.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,0,2.0,0.0,False
0.0,0,0.0,2.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,0,2.0,0.0,False
0.0,0,0.0,2.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,0,2.0,0.0,False
0.0,0,0.0,2.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,0,2.0,0.0,False
0.0,0,0.0,2.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,0,2.0,0.0,False
0.0,0,0.0,2.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,0,2.0,0.0,False
0.0,0,0.0,2.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,0,2.0,0.0,False
0.0,0,0.0,2.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,0,2.0,0.0,False
7.0,5,534.7,18.0,31.25,129.27,1.0,31.0,4.14,1.0,13.0,7,7.0,11.0,False
9.0,2,504.0,16.0,28.57,120.0,3.0,30.0,4.2,2.0,14.0,9,6.0,10.0,False
10.0,11,908.41,22.0,26.02,153.73,1.0,35.0,5.91,1.0,13.0,10,10.0,11.0,False
7.0,5,534.7,18.0,31.25,129.27,1.0,31.0,4.14,1.0,13.0,7,7.0,11.0,False
9.0,2,504.0,16.0,28.57,120.0,3.0,30.0,4.2,2.0,14.0,9,6.0,10.0,False
14.0,18,2548.14,42.0,46.18,343.02,1.0,68.0,7.43,1.0,26.0,14,12.0,21.0,False
11.0,7,2470.53,29.0,28.36,264.7,5.0,57.0,9.33,3.0,28.0,11,10.0,15.0,False
19.0,14,3740.65,41.0,27.48,320.63,9.0,66.0,11.67,5.0,25.0,17,14.0,15.0,False
0.0,0,0.0,2.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,0,2.0,0.0,False
0.0,0,0.0,2.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,0,2.0,0.0,False
14.0,9,2280.82,33.0,37.7,293.25,3.0,61.0,7.78,2.0,28.0,14,10.0,18.0,False
4.0,1,87.17,7.0,13.95,34.87,1.0,11.0,2.5,1.0,4.0,4,5.0,4.0,False
4.0,3,87.17,7.0,13.95,34.87,1.0,11.0,2.5,1.0,4.0,4,5.0,4.0,False
11.0,5,1064.0,24.0,21.71,152.0,1.0,38.0,7.0,1.0,14.0,10,8.0,8.0,False
0.0,0,0.0,2.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,0,2.0,0.0,False
6.0,0,507.65,10.0,11.42,76.15,3.0,20.0,6.67,2.0,10.0,6,8.0,6.0,False
0.0,0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0,1.0,0.0,False
6.0,1,81.0,9.0,25.0,45.0,1.0,15.0,1.8,1.0,6.0,6,3.0,5.0,False
14.0,5,2138.11,33.0,25.22,232.19,3.0,50.0,9.21,2.0,17.0,14,13.0,12.0,False
17.0,1,6860.09,41.0,14.61,316.62,11.0,71.0,21.67,6.0,30.0,17,13.0,9.0,False
36.0,23,14063.19,92.0,55.33,882.1,13.0,154.0,15.94,7.0,62.0,35,18.0,35.0,False
49.0,30,21841.82,99.0,47.89,1022.69,18.0,168.0,21.36,10.0,69.0,43,26.0,42.0,False
0.0,0,0.0,2.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,0,2.0,0.0,False
40.0,16,22625.5,100.0,41.98,974.64,15.0,165.0,23.21,9.0,65.0,36,25.0,35.0,False
7.0,5,56.15,7.0,14.04,28.07,3.0,10.0,2.0,2.0,3.0,7,4.0,3.0,False
76.0,18,35879.48,132.0,56.74,1426.79,25.0,227.0,25.15,14.0,95.0,67,27.0,51.0,False
19.0,16,6067.0,52.0,37.81,478.97,3.0,90.0,12.67,2.0,38.0,18,16.0,24.0,False
15.0,7,1409.68,27.0,36.95,228.23,5.0,48.0,6.18,3.0,21.0,15,10.0,17.0,False
10.0,2,1539.78,18.0,13.12,142.13,5.0,31.0,10.83,3.0,13.0,10,15.0,9.0,False
10.0,11,1186.82,24.0,23.6,167.37,1.0,37.0,7.09,1.0,13.0,10,12.0,11.0,False
15.0,7,1409.68,27.0,36.95,228.23,5.0,48.0,6.18,3.0,21.0,15,10.0,17.0,False
10.0,2,1539.78,18.0,13.12,142.13,5.0,31.0,10.83,3.0,13.0,10,15.0,9.0,False
9.0,15,804.75,20.0,21.55,131.69,1.0,31.0,6.11,1.0,11.0,9,10.0,9.0,False
0.0,0,0.0,2.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,0,2.0,0.0,False
0.0,0,0.0,2.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,0,2.0,0.0,False
57.0,25,29696.99,125.0,59.57,1330.1,13.0,211.0,22.33,9.0,86.0,57,27.0,52.0,False
36.0,14,7423.67,67.0,51.55,618.64,17.0,112.0,12.0,9.0,45.0,28,16.0,30.0,False
0.0,0,0.0,2.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,0,2.0,0.0,False
9.0,1,562.59,16.0,15.63,93.77,1.0,24.0,6.0,1.0,8.0,9,9.0,6.0,False
8.0,4,140.0,10.0,12.6,42.0,1.0,14.0,3.33,1.0,4.0,7,5.0,3.0,False
14.0,7,702.84,22.0,31.45,148.68,3.0,35.0,4.73,2.0,13.0,14,8.0,11.0,False
4.0,0,188.21,8.0,15.36,53.77,1.0,15.0,3.5,1.0,7.0,4,6.0,6.0,False
36.0,3,12491.15,81.0,58.73,856.54,19.0,151.0,14.58,10.0,70.0,36,15.0,36.0,False
3.0,1,69.74,6.0,17.43,34.87,1.0,11.0,2.0,1.0,5.0,3,4.0,5.0,False
10.0,0,786.03,16.0,18.6,120.93,3.0,29.0,6.5,2.0,13.0,10,9.0,9.0,False
8.0,0,1911.12,24.0,19.43,192.72,3.0,41.0,9.92,2.0,17.0,8,14.0,12.0,False
0.0,0,0.0,2.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,0,2.0,0.0,False
0.0,0,0.0,2.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,0,2.0,0.0,False
0.0,0,0.0,2.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,0,2.0,0.0,False
51.0,28,32737.87,145.0,68.42,1496.59,27.0,245.0,21.88,14.0,100.0,51,21.0,48.0,False
0.0,0,0.0,2.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,0,2.0,0.0,False
0.0,0,0.0,2.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,0,2.0,0.0,False
0.0,0,0.0,2.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,0,2.0,0.0,False
0.0,0,0.0,2.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,0,2.0,0.0,False
0.0,0,0.0,2.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,0,2.0,0.0,False
7.0,6,480.69,16.0,27.25,114.45,1.0,28.0,4.2,1.0,12.0,7,7.0,10.0,False
18.0,7,7371.44,49.0,20.42,387.97,6.0,87.0,19.0,5.0,38.0,18,11.0,11.0,False
9.0,10,804.75,20.0,21.55,131.69,1.0,31.0,6.11,1.0,11.0,9,10.0,9.0,False
7.0,6,480.69,16.0,27.25,114.45,1.0,28.0,4.2,1.0,12.0,7,7.0,10.0,False
3.0,1,145.3,8.0,11.86,41.51,1.0,12.0,3.5,1.0,4.0,3,7.0,4.0,False
10.0,11,1186.82,24.0,23.6,167.37,1.0,37.0,7.09,1.0,13.0,10,12.0,11.0,False
35.0,22,13176.06,89.0,54.02,843.67,13.0,148.0,15.62,7.0,59.0,34,18.0,34.0,False
23.0,13,4423.57,51.0,44.98,446.07,11.0,85.0,9.92,6.0,34.0,22,14.0,24.0,False
0.0,0,0.0,2.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,0,2.0,0.0,False
0.0,0,0.0,2.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,0,2.0,0.0,False
0.0,0,0.0,2.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,0,2.0,0.0,False
63.0,31,56756.57,153.0,50.49,1692.74,16.0,267.0,33.53,11.0,114.0,63,30.0,51.0,False
22.0,7,2086.35,36.0,27.97,241.58,5.0,55.0,8.64,3.0,19.0,17,10.0,11.0,False
0.0,0,0.0,2.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,0,2.0,0.0,False
8.0,0,2568.63,24.0,17.84,214.05,5.0,48.0,12.0,3.0,24.0,8,11.0,11.0,False
142.0,8,481241.52,554.0,133.5,8015.42,143.0,1061.0,60.04,73.0,507.0,139,36.0,152.0,False
58.0,2,99019.72,268.0,89.69,2980.07,143.0,483.0,33.23,72.0,215.0,58,17.0,55.0,False
22.0,4,15993.34,65.0,15.66,500.5,27.0,102.0,31.95,14.0,37.0,21,19.0,11.0,False
29.0,1,20624.52,79.0,28.38,765.1,15.0,141.0,26.96,8.0,62.0,29,20.0,23.0,False
44.0,15,19400.82,108.0,72.17,1183.31,11.0,202.0,16.4,6.0,94.0,44,15.0,43.0,False
0.0,0,0.0,2.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,0,2.0,0.0,False
5.0,1,39.3,4.0,9.83,19.65,1.0,7.0,2.0,1.0,3.0,5,4.0,3.0,False
7.0,6,480.69,16.0,27.25,114.45,1.0,28.0,4.2,1.0,12.0,7,7.0,10.0,False
8.0,5,558.13,15.0,17.09,97.67,1.0,25.0,5.71,1.0,10.0,8,8.0,7.0,False
16.0,11,1972.97,33.0,30.24,244.27,1.0,54.0,8.08,1.0,21.0,16,10.0,13.0,False
7.0,6,480.69,16.0,27.25,114.45,1.0,28.0,4.2,1.0,12.0,7,7.0,10.0,False
8.0,5,558.13,15.0,17.09,97.67,1.0,25.0,5.71,1.0,10.0,8,8.0,7.0,False
9.0,10,804.75,20.0,21.55,131.69,1.0,31.0,6.11,1.0,11.0,9,10.0,9.0,False
0.0,0,0.0,2.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,0,2.0,0.0,False
0.0,0,0.0,2.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,0,2.0,0.0,False
3.0,1,762.02,20.0,18.44,118.54,1.0,29.0,6.43,1.0,9.0,3,10.0,7.0,False
3.0,0,12.0,3.0,5.33,8.0,1.0,4.0,1.5,1.0,1.0,3,3.0,1.0,False
23.0,7,6539.54,52.0,37.53,495.42,5.0,100.0,13.2,3.0,48.0,23,11.0,20.0,False
14.0,2,4084.22,33.0,18.15,272.28,3.0,63.0,15.0,2.0,30.0,14,10.0,10.0,False
3.0,0,17.41,3.0,7.74,11.61,1.0,5.0,1.5,1.0,2.0,3,3.0,2.0,False
0.0,0,23.22,4.0,5.8,11.61,1.0,5.0,2.0,1.0,1.0,0,4.0,1.0,False
27.0,2,15978.01,72.0,31.82,713.07,15.0,127.0,22.41,8.0,55.0,27,22.0,27.0,False
18.0,9,9667.76,53.0,27.19,512.67,9.0,97.0,18.86,5.0,44.0,18,18.0,21.0,False
53.0,48,31957.74,158.0,113.81,1907.11,5.0,296.0,16.76,3.0,138.0,51,17.0,70.0,False
253.0,17,582205.62,602.0,109.99,8002.45,51.0,1054.0,72.75,33.0,452.0,218,47.0,146.0,False
11.0,7,1243.98,25.0,26.32,180.94,3.0,40.0,6.87,2.0,15.0,11,11.0,12.0,False
10.0,7,931.41,21.0,28.4,162.63,1.0,39.0,5.73,1.0,18.0,10,7.0,11.0,False
17.0,11,2914.07,38.0,27.93,285.29,1.0,60.0,10.21,1.0,22.0,17,13.0,14.0,False
11.0,7,1243.98,25.0,26.32,180.94,3.0,40.0,6.87,2.0,15.0,11,11.0,12.0,False
10.0,7,931.41,21.0,28.4,162.63,1.0,39.0,5.73,1.0,18.0,10,7.0,11.0,False
15.0,14,1724.98,30.0,25.77,210.83,1.0,48.0,8.18,1.0,18.0,15,10.0,11.0,False
19.0,3,7881.04,78.0,67.09,727.12,5.0,134.0,10.84,3.0,56.0,19,12.0,31.0,False
28.0,10,13972.73,97.0,65.33,955.4,3.0,175.0,14.63,2.0,78.0,26,12.0,32.0,False
4.0,1,87.17,7.0,13.95,34.87,1.0,11.0,2.5,1.0,4.0,4,5.0,4.0,False
4.0,1,119.59,8.0,13.29,39.86,1.0,12.0,3.0,1.0,4.0,2,6.0,4.0,False
62.0,16,43359.38,145.0,66.95,1703.82,11.0,268.0,25.45,6.0,123.0,59,24.0,58.0,False
3.0,1,23.22,4.0,5.8,11.61,3.0,5.0,2.0,2.0,1.0,3,4.0,1.0,False
0.0,0,23.22,4.0,5.8,11.61,1.0,5.0,2.0,1.0,1.0,0,4.0,1.0,False
13.0,2,2395.81,26.0,20.13,219.62,5.0,50.0,10.91,3.0,24.0,13,10.0,11.0,False
16.0,10,16530.21,109.0,60.96,1003.86,3.0,185.0,16.47,2.0,76.0,16,13.0,30.0,False
5.0,2,186.03,8.0,8.54,39.86,1.0,12.0,4.67,1.0,4.0,5,7.0,3.0,False
15.0,2,2107.08,24.0,19.11,200.67,5.0,45.0,10.5,3.0,21.0,14,11.0,11.0,False
91.0,42,150993.43,235.0,44.12,2581.08,24.0,424.0,58.5,16.0,189.0,83,26.0,42.0,False
26.0,14,4917.61,49.0,43.17,460.75,9.0,86.0,10.67,5.0,37.0,26,15.0,26.0,False
11.0,11,772.6,23.0,49.83,196.21,1.0,44.0,3.94,1.0,21.0,10,6.0,16.0,False
16.0,12,2239.16,34.0,26.65,244.27,1.0,54.0,9.17,1.0,20.0,16,11.0,12.0,False
26.0,14,4917.61,49.0,43.17,460.75,9.0,86.0,10.67,5.0,37.0,26,15.0,26.0,False
11.0,13,811.7,23.0,46.01,193.26,1.0,44.0,4.2,1.0,21.0,10,6.0,15.0,False
17.0,11,2914.07,38.0,27.93,285.29,1.0,60.0,10.21,1.0,22.0,17,13.0,14.0,False
20.0,11,12054.49,65.0,31.49,616.12,17.0,115.0,19.57,9.0,50.0,20,18.0,23.0,False
23.0,3,9130.93,64.0,34.03,557.41,5.0,107.0,16.37,3.0,43.0,22,16.0,21.0,False
30.0,11,9420.58,71.0,50.36,688.77,13.0,124.0,13.68,7.0,53.0,29,16.0,31.0,False
29.0,9,20956.91,87.0,36.38,873.2,11.0,159.0,24.0,6.0,72.0,29,18.0,27.0,False
8.0,1,358.13,14.0,26.64,97.67,1.0,25.0,3.67,1.0,11.0,6,6.0,9.0,False
8.0,0,764.63,15.0,17.2,114.69,3.0,27.0,6.67,2.0,12.0,8,10.0,9.0,False
43.0,1,21613.73,101.0,50.81,1047.94,19.0,176.0,20.63,13.0,75.0,43,22.0,40.0,False
45.0,4,38870.09,122.0,47.52,1359.09,20.0,221.0,28.6,12.0,99.0,43,26.0,45.0,False
21.0,4,10742.56,50.0,15.74,411.2,15.0,83.0,26.13,8.0,33.0,20,19.0,12.0,False
3.0,0,189.35,10.0,21.04,63.12,1.0,19.0,3.0,1.0,9.0,3,4.0,6.0,False
